id,title,bio,date,url,image,events,slug
3737,Jesús Ramos,"Ingeniero en Sistemas Computacionales por el ITESM, y MSc en Computational Finance por la UNottingham. Participó en el desarrollo de sistemas financieros de cobertura nacional como el Dalí de INDEVAL y el MoNeT de Bolsa Mexicana de Valores. Desarrolló metodologías para cálculos de índices de mercado y de volatilidad. En GBM desarrolló sistemas de recomendación de inversiones para la plataforma piggo.mx. Graduado de la Data Science Specialization de la JHU en Coursera, y cofounder de The Data Pub, la comunidad de Ciencia de Datos más grande de México. Speaker en foros nacionales sobre aspectos organizacionales de la Ciencia de Datos. Actualmente es CIO en Luxelare, empresa de tecnología enfocada en el sector de agricultura.",2015-12-22,/speaker/jesus-ramos/,/images/speakers/2015/12/jesusramos.jpeg,"2017,2018,2019cdmx,2019mty,2020",jesus-ramos
4079,Liliana Millán,"Científica de datos con más de 10 años de experiencia. En la industria fue parte del grupo pionero en aplicar redes neuronales para prevención de fraude para BBVA España, con lo que se registró una patente; fundó áreas de ciencia de datos en Grupo Expansión y TERAN/TBWA, y fue Chief Data Scientist en Klustera y en Datank.ai. En la academia, fue Technical Research Manager para la Data Science for Social Good Foundation en el Imperial College London, y actualmente es Senior Research Scientist en el Centro de Ciencia de Datos y Política Pública del ITAM, y Senior Data Scientist en la Data Science for Social Good Foundation en Carnegie Mellon University.",2017-01-12,/speaker/liliana-millan/,/images/speakers/2017/01/PIC2-1.jpg|/images/speakers/2017/01/lilianamillan.jpg|/images/speakers/2017/01/FotoDD17_BN.png,"2019cdmx,2020,2021",liliana-millan
4148,Eduardo Jallath,"Eduardo Jallath tiene maestría y doctorado en Administración Industrial por la Universidad de Carnegie Mellon, maestría en Administración de Sistemas por la London School of Economics y licenciatura en Ingeniería en Computación por la UNAM. En Banco de México trabajó como Gerente de Arquitectura de Información del Sistema Financiero. Es de los pocos Arquitectos Empresariales en México que ha tenido la oportunidad de trabajar proyectos internacionales. Su participación en conferencias del The Open Group se enfocan al uso de la Arquitectura Empresarial como herramienta para coordinar política pública y a la integración de estándares de procesos y datos en la cadena de valor de la producción de información.",2017-01-30,/speaker/eduardo-jallath/,/images/speakers/2017/01/Eduardo.png|/images/speakers/2017/01/EduardoBN.png,,eduardo-jallath
4149,Gabriela Otero,"Fundadora y CEO del Centro de Análisis de Datos para la Salud. Previamente, fue socia fundadora de Consultoría Paasel, empresa enfocada en soluciones de Advanced Analytics, donde se desempeñó principalmente como líder de proyectos de salud pública. Posteriormente Paasel fue adquirida por la empresa líder en servicios de Information Management en México, Intellego. Licenciada en Matemáticas Aplicadas por el ITAM, cuenta con amplia experiencia en el análisis de datos y coordinación de proyectos, así como participación en proyectos de difusión científica para la Reproductive Health Matters y el INNN. Tiene gran interés en la generación de insumos para la toma de decisiones de políticas de salud pública, a través del análisis de datos",2017-01-30,/speaker/gabriela-otero/,/images/speakers/2017/01/Gabriela-Otero_BN.jpg.png,,gabriela-otero
4150,José Antonio Padrós,"Consultor de analítica de datos, colaborando en distintas industrias para la mejor gestión de campañas de marketing, perfiles de riesgo crediticio y desarrollo de estrategia. Sus áreas de especialidad incluyen la minería de datos y modelado predictivo, y tiene un interés especial en el estudio del funcionamiento de la mente humana.

&nbsp;",2017-01-30,/speaker/antonio-padros/,/images/speakers/2017/01/antonio-padros.jpg,"2017,2018,2019cdmx,2021",antonio-padros
4151,David Lampón,"Chief Scientist y cofundador del Centro de Análisis de Datos para la Salud y profesor de tiempo parcial en el ITAM. Anteriormente, fue socio fundador de Consultoría Paasel, empresa enfocada en soluciones de Advanced Analytics. Paasel fue adquirida por la empresa líder en servicios de Information Management en México, Intellego, donde se desempeñó como arquitecto de soluciones de Data Science. Licenciado en Matemáticas Aplicadas y Maestro en Ciencia de Datos por el ITAM cuenta con más de 10 años de experiencia en el análisis de datos y la dirección de grupos de investigación y consultoría especializada. Con un fuerte interés en la divulgación de la ciencia, aplicaciones sociales y el conocimiento sustentado en datos, fundó la revista Laberintos e Infinitos, publicación vigente del ITAM.",2017-01-30,/speaker/david-lampon/,/images/speakers/2017/01/david_lampon.jpg,,david-lampon
4152,Irving Morales Agiss,"Doctor en Física Nuclear por la UNAM. Estudioso de los patrones emergentes en sistemas nucleares complejos, y actualmente lleva esta experiencia a sistemas urbanos ayudando a investigar relación entre transporte, ciudadanos, servicios, ecosistema y atmósfera. Para él la física y las mates son parte del toolbox, y lo importante es la mejora que éstos traigan al entorno humano. Es fundador de Morlan, empresa dedicada al análisis científico de datos y a las visualizaciones de alto impacto. Con Morlan ha trabajado codo a codo con Milenio DataLab y El Universal Data desarrollando productos editoriales basados en datos que contribuyan a la rendición de cuentas y a la lucha anti-corrupción. Produce el vlog ""Morlan"", donde cada semana discute aspectos de periodismo de datos y cómo desde la academia se puede fomentar una sociedad civil informada.",2017-01-30,/speaker/irving-morales-agiss/,/images/speakers/2017/01/Irving-Morales_BN.jpg.png,,irving-morales-agiss
4153,Andrea Fernández Conde,"Lic. en Mates Aplicadas, Ciencia Política y MSc en Ciencia de Datos por el ITAM. Durante su carrera ha intentando integrar matemáticas y ciencia política fomentar la toma de decisiones y diseño de políticas basadas en evidencia. Su investigación se ha centrado en el estudio y diseño de políticas públicas para prevención de la violencia, el crimen organizado, la delincuencia, transparencia, corrupción y la justicia. Ha consultado para Autodesk, para la SSPDF y ahora para INEGI a nivel directivo.",2017-01-30,/speaker/andrea-fernandez-conde/,/images/speakers/2017/01/Andrea-Fernandez_BN.jpg.png,2018,andrea-fernandez-conde
4154,Adolfo Martínez,"Lic. en Mates Aplicadas por el ITAM. Ha consultado para Metros Cúbicos en modelos de pricing y segmentación de clientes, para Grupo Expansión en productos periodísticos y editoriales basados en datos y para Grupo Bursátil Mexicano con sistemas de recomendación de inversiones y roboadvisors. Actualmente es Data Scientist en datank.ai donde busca fusionar la AI Bayesiana y NLP para llegar a una inteligancia conversacional sin los altos costos infraestructurales de una deep convolutional neural network.",2017-01-30,/speaker/adolfo-martinez/,/images/speakers/2017/01/Pic3-1.jpg,"2018,2019cdmx",adolfo-martinez
4155,Pablo Suárez Serrato,"Pablo ha dedicado su vida a la investigación en temas donde interactúan la dinámica, la geometría y la topología. Es miembro de varias de iniciativas de divulgación como el canal de YouTube del Instituto de Matemáticas y el grupo ""Aquelarre Matemático"" de la UNAM. Es autor de más de una docena de papers en temas de análisis topológico de datos. Cursó su PhD en Mates en la UCambridge, su postdoc en la UMunich, y desde 2009 ha realizado investigaciones en el Instituto Max Planck, en la UNantes y en la UPC en Barcelona.",2017-01-30,/speaker/pablo-suarez-serrato/,/images/speakers/2017/01/Pablo-Suarez_BN.jpg.png,,pablo-suarez-serrato
4156,José Carlos Méndez de la Torre,"José Carlos es primeramente Zacatecano. Estudió matemáticas en la Universidad Autónoma de Zacatecas e Inteligencia y visión artificial en el CENIDET.

Su trabajo de investigación es sobre el reconocimiento facial con redes neuronales convolucionales. Ha realizado trabajos de consultoría en iniciativa privada y sector público; se especializa en el uso de SAP HANA. Es aficionado a la divulgación científica.",2017-01-30,/speaker/jose-carlos-mendez-de-la-torre/,/images/speakers/2017/01/Jose-Carlos-Mendez_BN.jpg.png,2019mty,jose-carlos-mendez-de-la-torre
4157,Fernando Cisneros,"Ingeniero en Telemática del IPN. Participó en desarrollos de software de importancia nacional como el motor de índices de la Bolsa Mexicana de Valores. Desarrolló la infraestructura de análisis de datos para Grupo Expansión, la cual procesa ~1 millón de artículos editoriales y streams de redes sociales para analizarlos usando técnicas algebráicas de NLP. Actualmente es Principal Engineer en datank.ai, donde está desarrollando la infraestructura necesaria para soportar aprendizaje automático bayesiano. Runner y cross-fitter. Padre primerizo y emocionado de serlo.",2017-01-30,/speaker/fernando-cisneros/,/images/speakers/2017/01/PIC2.jpg,,fernando-cisneros
4158,Paco Mekler,"Ingeniero en Telecom por el ITAM y el IPN. Cursó estudios en el MIT sobre procesamiento de grandes volumenes de datos. Es fuerte defensor y proponente de los datos abiertos en el país, colaborando muy de cerca con SocialTIC en proyectos de transparencia e infoactivismo. Utilizando técnicas de scrapping avanzado logró descargar la BD del IMSS de manera automática, logrando un grado de transparencia que ni la agencia tenía. Actualmente es Principal Engineer en OPI, donde utiliza sus skills para encontrar datos abiertos y llevarlos a su repositorio.",2017-01-30,/speaker/paco-mekler/,/images/speakers/2017/01/Paco-Makler_BN.jpg.png,,paco-mekler
4159,Sergio Araiza,"Ingeniero en Sistemas Computacionales por la ESCOM. Ha apoyado decenas de proyectos de infoactivismo a lo largo de LATAM, siempre en pos de la transparencia, rendición de cuentas y seguridad digital civil. Como Director de Infoactivismo de SocialTIC ha sido mentor y profesor en iniciativas de datos abiertos como SchoolOfData.org en temas de transparencia, seguridad civil y periodismo en países como México, Colombia, Brasil, Perú Uruguay, Argentina, y El Salvador. Recientemente fue Visiting Professor en el MIT Media Lab en temas de análisis de datos para periodismo, fines sociales y de transparencia gubernamental.",2017-01-30,/speaker/sergio-araiza/,/images/speakers/2017/01/Sergioaraiza.jpg,2018,sergio-araiza
4160,Maru Lango,"""Full Stack Designer"". Diseñadora de profesión por el CEDIM en Mty. Programadora de vocación. Lleva 10 años fusionando el diseño de plataformas digitales con su respectivo desarrollo. Ha trabajado en iniciativas de datos en la parte de front-end con OPI, rOpenSci y ahora datank.ai, donde mediante dataviz y storytelling le da voz a datasets de millones de registros. Es cofundadora del capítulo mexicano de WomenWhoCode y NodeSchool, y de la comunidad mexicana de JavaScript Eventloop. Maestra Pokémon y Chocobo Jockey en su tiempo libre.",2017-01-30,/speaker/maru-lango/,/images/speakers/2017/01/Maru_400x400.png,,maru-lango
4161,Miguel Escalante,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Matem\u00e1tico Aplicado y MSc en Ciencia de Datos por el ITAM. Colabor\u00f3 en el desarrollo de infraestructura y productos predictivos de datos con OPI, y en Globant con modelos de investigaci\u00f3n de operaciones. Actualmente es Cient\u00edfico de Datos en Cultura Colectiva, donde ejecuta la estrategia de datos para mejora de medios digitales.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:769,&quot;3&quot;:{&quot;1&quot;:0},&quot;11&quot;:4,&quot;12&quot;:0}"">Matemático Aplicado y MSc en Ciencia de Datos por el ITAM. Colaboró en el desarrollo de infraestructura y productos predictivos de datos con OPI, y en Globant con modelos de investigación de operaciones. Actualmente es Científico de Datos en Cultura Colectiva, donde ejecuta la estrategia de datos para mejora de medios digitales.</span>",2017-01-30,/speaker/miguel-escalante/,/images/speakers/2017/01/Miguel-Escalante_BN.jpg.png,,miguel-escalante
4162,Adolfo De Unánue,"Director Académico y de Investigación en la Escuela de Gobierno y Transformación Pública del Tecnológico de Monterrey, posición en la cual coordina los esfuerzos para integrar la Ciencia de Datos en temas de Política Pública. Fue fundador y Director del Centro de Ciencia de Datos en el ITAM, institución en la que también fungió como Director Académico del programa de Maestría en Ciencia de Datos, primer magister de ciencia de datos en América Latina. Fue Investigador Senior para el Centro de Ciencia de Datos y Políticas Públicas de la Universidad de Chicago, participando en proyectos internacionales relacionados con educación, salud, seguridad, transporte e infraestructura; aplicando técnicas de ciencia de datos. Adolfo es participante activo e impulsor del ecosistema de ciencia de datos en México, desempeñando roles como tecnólogo, consejero (advisor) o director. Así mismo, ha co-fundado tres startups relacionadas con inteligencia artificial, y colaboró en la construcción de equipos de Data Science y grupos funcionales, en organizaciones como Telefónica y BBVA. Es Doctor en Física Teórica de la Universidad Nacional Autónoma de México y Postdoctorado en sistemas complejoen la mejora de su prevención de fraude de tarjeta de crédito utilizando aprendizaje estadístico.",2020-01-13,/speaker/adolfo-de-unanue/,/images/speakers/2017/01/adolfo-unane.jpg,"2018,2020,2021",adolfo-de-unanue
